pfam_acc	evalue
zzz	PF12925.8	1
zzz	PF02177.17	1
zzz	PF12716.8	1
zzz	PF12139.9	1
zzz	PF01583.21	1
zzz	PF03440.15	1
zzz	PF10351.10	1
zzz	PF06079.12	1
zzz	PF01261.25	1
zzz	PF16399.6	1
zzz	PF12489.9	1
zzz	PF09206.12	1
zzz	PF12625.8	1
zzz	PF02610.16	1
zzz	PF11762.9	1
zzz	PF04602.13	1
zzz	PF14896.7	1
zzz	PF17689.2	1
zzz	PF02311.20	1
zzz	PF14525.7	1
zzz	PF06719.14	1
zzz	PF06081.12	1
zzz	PF11728.9	1
zzz	PF10334.10	1
zzz	PF10337.10	1
zzz	PF09692.11	1
zzz	PF09757.10	1
zzz	PF03869.15	1
zzz	PF18653.2	1
zzz	PF12942.8	1
zzz	PF01951.17	1
zzz	PF01917.17	1
zzz	PF04659.14	1
zzz	PF18162.2	1
zzz	PF06819.12	1
zzz	PF06847.12	1
zzz	PF08394.11	1
zzz	PF03079.15	1
zzz	PF07275.12	1
zzz	PF07573.12	1
zzz	PF17296.3	1
zzz	PF00798.19	1
zzz	PF17290.3	1
zzz	PF00843.18	1
zzz	PF06317.12	1
zzz	PF00025.22	1
zzz	PF14949.7	1
zzz	PF03889.14	1
zzz	PF06456.14	1
zzz	PF01412.19	1
zzz	PF00491.22	1
zzz	PF00764.20	1
zzz	PF01960.19	1
zzz	PF15346.7	1
zzz	PF08699.11	1
zzz	PF16488.6	1
zzz	PF16487.6	1
zzz	PF16486.6	1
zzz	PF11581.9	1
zzz	PF17944.2	1
zzz	PF17810.2	1
zzz	PF01316.22	1
zzz	PF02863.19	1
zzz	PF03485.17	1
zzz	PF15441.7	1
zzz	PF18938.1	1
zzz	PF01388.22	1
zzz	PF06770.12	1
zzz	PF15840.6	1
zzz	PF11527.9	1
zzz	PF15062.7	1
zzz	PF18719.2	1
zzz	PF00514.24	1
zzz	PF09003.11	1
zzz	PF12167.9	1
zzz	PF13356.7	1
zzz	PF14657.7	1
zzz	PF17293.3	1
zzz	PF10208.10	1
zzz	PF04826.14	1
zzz	PF16186.6	1
zzz	PF16629.6	1
zzz	PF18770.2	1
zzz	PF18677.2	1
zzz	PF18583.2	1
zzz	PF07302.12	1
